,time,variable,value,celltype,name,eps
0,9,Tfh_Arm,1195653.45050845,Tfh,Arm,1000.0
1,30,Tfh_Arm,80700.0147667497,Tfh,Arm,1000.0
2,60,Tfh_Arm,34226.9397968502,Tfh,Arm,1000.0
3,9,NonTfh_Arm,1835938.347605,NonTfh,Arm,1000.0
4,30,NonTfh_Arm,77470.3030743239,NonTfh,Arm,1000.0
5,60,NonTfh_Arm,74369.8483299462,NonTfh,Arm,1000.0
6,9,Tfh_Cl13,79822.8331607394,Tfh,Cl13,1000.0
7,30,Tfh_Cl13,121629.034490956,Tfh,Cl13,1000.0
8,60,Tfh_Cl13,76867.3614223879,Tfh,Cl13,1000.0
9,9,NonTfh_Cl13,282837.485631141,NonTfh,Cl13,1000.0
10,30,NonTfh_Cl13,121629.034490956,NonTfh,Cl13,1000.0
11,60,NonTfh_Cl13,36954.0973477147,NonTfh,Cl13,1000.0
